episode,score,average_score,best_score
1,-640.9992712634102,-640.9992712634102,-640.9992712634102
2,-71.87719362809918,-356.4382324457547,-356.4382324457547
3,-28.217000778452505,-247.03115522332064,-247.03115522332064
4,-332.1539013376318,-268.31184175189844,-247.03115522332064
5,-117.93977731986125,-238.23742886549098,-238.23742886549098
6,-1644.9165096091524,-472.6839423227679,-238.23742886549098
7,-457.116656885778,-470.4600444031979,-238.23742886549098
8,533.0794510543761,-345.01760747100116,-238.23742886549098
9,374.47571560182774,-265.0739049073535,-238.23742886549098
10,756.6988445578785,-162.8966299608303,-162.8966299608303
11,656.340987536633,-88.42048291560637,-88.42048291560637
12,754.901179377362,-18.143677724525663,-18.143677724525663
13,635.7361455940587,32.15477022305775,32.15477022305775
14,360.7616259158859,55.626688486831185,55.626688486831185
15,634.6504429186903,94.22827211562179,94.22827211562179
16,378.8670511245013,112.01819580367676,112.01819580367676
17,734.5955022817508,148.640390302387,148.640390302387
18,694.1408400695642,178.94597084500796,178.94597084500796
19,773.2433943033292,210.22478260597222,210.22478260597222
20,689.0456699815585,234.16582697475155,234.16582697475155
21,767.9129501361817,259.58235664910535,259.58235664910535
22,730.5607070166359,280.9904634839931,280.9904634839931
23,787.1041125030324,302.99540474569045,302.99540474569045
24,747.8187526695614,321.5297109091851,321.5297109091851
25,691.4322624244493,336.32581296979566,336.32581296979566
26,741.291831082927,351.9014290510699,351.9014290510699
27,787.0174745986368,368.01683814542423,368.01683814542423
28,726.8027200867884,380.8306196433301,380.8306196433301
29,765.2373158012962,394.0860229591221,394.0860229591221
30,831.3238347424191,408.66061668523196,408.66061668523196
31,804.0978736005427,421.4166572308872,421.4166572308872
32,761.9002794171718,432.0567704242086,432.0567704242086
33,798.1874745693161,443.1516402467876,443.1516402467876
34,736.1196410728413,451.76834615343626,451.76834615343626
35,814.3133670923411,462.12677532311926,462.12677532311926
36,685.9071390086056,468.342896536605,468.342896536605
37,775.4563606160465,476.64326043064403,476.64326043064403
38,846.6238250686923,486.37959107901366,486.37959107901366
39,583.5700617602016,488.87165442981336,488.87165442981336
40,734.7599503448037,495.0188618276881,495.0188618276881
41,838.770923348324,503.4030584501427,503.4030584501427
42,726.2540256021173,508.709033858523,508.709033858523
43,838.2505059191291,516.3727890227232,516.3727890227232
44,802.9205563936506,522.8852382811533,522.8852382811533
45,769.2819412438208,528.3607205692126,528.3607205692126
46,706.5969542581155,532.2354213015801,532.2354213015801
47,671.3259308754828,535.1947938457057,535.1947938457057
48,817.5481798350686,541.0771560538172,541.0771560538172
49,794.7360426132672,546.2538680244182,546.2538680244182
50,850.1220969595723,552.3312326031213,552.3312326031213
51,747.5746762298934,556.1595354193325,556.1595354193325
52,428.337525824156,553.7014198501945,556.1595354193325
53,770.6503240766028,557.7947954016362,557.7947954016362
54,664.3322095987987,559.7677104793614,559.7677104793614
55,727.2913436150511,562.8135947181922,562.8135947181922
56,672.9797676710224,564.7808478066355,564.7808478066355
57,714.5562336908155,567.4084861554808,567.4084861554808
58,103.89449403482325,559.4168656016764,567.4084861554808
59,399.1996486255505,556.7013195512335,567.4084861554808
60,868.9629010847112,561.9056792434582,567.4084861554808
61,762.4144796751488,565.1927087587318,567.4084861554808
62,783.3499636621149,568.7113741603993,568.7113741603993
63,736.2388601589561,571.3705406048207,571.3705406048207
64,770.3055663782537,574.4789003825308,574.4789003825308
65,746.286736923352,577.1220978677742,577.1220978677742
66,718.867030432398,579.2697483611776,579.2697483611776
67,754.5937666675387,581.8865247538098,581.8865247538098
68,737.4991306110554,584.174945428181,584.174945428181
69,786.197332479488,587.1028061100841,587.1028061100841
70,639.2056833869414,587.8471329283249,587.8471329283249
71,718.5346415581447,589.6878020639562,589.6878020639562
72,784.5127036151595,592.3937034743896,592.3937034743896
73,822.1388466446072,595.5408972164473,595.5408972164473
74,551.3072421252274,594.9431451206201,595.5408972164473
75,649.7934017392382,595.674481875535,595.674481875535
76,613.7726377499222,595.9126155054611,595.9126155054611
77,812.8594959133338,598.7301074588102,598.7301074588102
78,787.250110729799,601.1470305776689,601.1470305776689
79,788.9376435774294,603.5241269447546,603.5241269447546
80,853.8667640133875,606.6534099081124,606.6534099081124
81,829.8451777995675,609.4088638326982,609.4088638326982
82,687.0416399683853,610.3556050050846,610.3556050050846
83,822.4927093480411,612.9114737321082,612.9114737321082
84,729.2522778698684,614.2964833051768,614.2964833051768
85,462.8075595014709,612.514260672192,614.2964833051768
86,750.3194915327773,614.1166470775477,614.2964833051768
87,743.09978978118,615.5992119362102,615.5992119362102
88,803.2768133928619,617.731911952763,617.731911952763
89,683.1113232583331,618.4665120797918,618.4665120797918
90,687.9651093664631,619.2387187163104,619.2387187163104
91,743.6908974162271,620.6063250756501,620.6063250756501
92,738.3436742058826,621.886078870544,621.886078870544
93,607.0522943322486,621.7265758109925,621.886078870544
94,796.7196329679372,623.5882040786195,623.5882040786195
95,852.542114060341,625.9982452363218,625.9982452363218
96,791.93222372733,627.7267241789365,627.7267241789365
97,528.224775605504,626.7009308946743,627.7267241789365
98,753.9177090062321,627.9990612835677,627.9990612835677
99,760.8346005393146,629.3408344073632,629.3408344073632
100,671.6065699278622,629.7634917625682,629.7634917625682
101,736.0263261976979,643.5337477371792,643.5337477371792
102,754.76067048344,651.8001263782947,651.8001263782947
103,656.3106620346236,658.6454030064255,658.6454030064255
104,694.6092612615261,668.9130346324171,668.9130346324171
105,794.7490867366091,678.0399232729818,678.0399232729818
106,649.9737012637956,700.9888253817113,700.9888253817113
107,601.1499575713698,711.5714915262828,711.5714915262828
108,870.8587789399887,714.9492848051387,714.9492848051387
