episode,score,average_score,best_score
1,-129.60750788823532,-129.60750788823532,-129.60750788823532
2,-120.78244775880626,-125.19497782352079,-125.19497782352079
3,-111.99242753618645,-120.79412772774269,-120.79412772774269
4,-131.5505098297087,-123.48322325323419,-120.79412772774269
5,-109.24539276226672,-120.63565715504069,-120.63565715504069
6,-117.36798015679854,-120.09104432200034,-120.09104432200034
7,-138.42394246020478,-122.71002977031526,-120.09104432200034
8,-121.53745877514218,-122.56345839591862,-120.09104432200034
9,-103.70534535515992,-120.468112502501,-120.09104432200034
10,-112.21442641550303,-119.64274389380121,-119.64274389380121
11,-112.3540905435197,-118.98013904377562,-118.98013904377562
12,-117.43579951172137,-118.8514440827711,-118.8514440827711
13,-121.2185464700254,-119.03352888179066,-118.8514440827711
14,-128.15898133534193,-119.68534691418718,-118.8514440827711
15,-113.62545994152687,-119.28135444934316,-118.8514440827711
16,-114.36055391600667,-118.97380441600961,-118.8514440827711
17,-112.62932008635937,-118.60059945544195,-118.60059945544195
18,-114.37992744554828,-118.36611767711452,-118.36611767711452
19,-118.14162722821472,-118.35430239033033,-118.35430239033033
20,-115.74965579002475,-118.22407006031506,-118.22407006031506
21,-128.24843032509585,-118.70142054911415,-118.22407006031506
22,-115.04379940193333,-118.53516504242411,-118.22407006031506
23,-122.58075464988934,-118.71106024274869,-118.22407006031506
24,-129.91125891666175,-119.17773518749505,-118.22407006031506
25,-118.15599282310282,-119.13686549291936,-118.22407006031506
26,-121.34421810876454,-119.22176367045185,-118.22407006031506
27,-108.07643972621145,-118.80897389473924,-118.22407006031506
28,-120.19715303832604,-118.85855172129592,-118.22407006031506
29,-113.96077609135087,-118.68966290647023,-118.22407006031506
30,-137.47061490937884,-119.31569463990053,-118.22407006031506
31,-104.86805959481808,-118.84964189651076,-118.22407006031506
32,-177.30170895010917,-120.67626899193573,-118.22407006031506
33,-101.93504314841951,-120.10835305728372,-118.22407006031506
34,-101.62868327799315,-119.56483335789282,-118.22407006031506
35,-100.8462342592428,-119.03001624078853,-118.22407006031506
36,-102.06049716040678,-118.55864071077794,-118.22407006031506
37,-108.00134894128796,-118.27330850079171,-118.22407006031506
38,-107.86980420989481,-117.99953207208391,-117.99953207208391
39,-108.08518596674315,-117.74531806938285,-117.74531806938285
40,-103.04311150172353,-117.37776290519136,-117.37776290519136
41,-104.24930359750613,-117.05755658061366,-117.05755658061366
42,-103.78804772591218,-116.74161589359697,-116.74161589359697
43,-103.85164166110816,-116.44184905098095,-116.44184905098095
44,-101.91516182934492,-116.11169706867105,-116.11169706867105
45,-104.14277253017016,-115.84572096781548,-115.84572096781548
46,-103.82435236239185,-115.58438686769756,-115.58438686769756
47,-103.25067094584679,-115.32196737999861,-115.32196737999861
48,-101.99035653057322,-115.04422548730224,-115.04422548730224
49,-106.13500844387214,-114.86240473131386,-114.86240473131386
50,-106.19087476988882,-114.68897413208536,-114.68897413208536
