episode,score,average_score,best_score
1,-171.92814548877084,-171.92814548877084,-171.92814548877084
2,-654.8189822442185,-413.3735638664947,-171.92814548877084
3,-474.7402342484109,-433.82912066046674,-171.92814548877084
4,-739.7470921930643,-510.30861354361616,-171.92814548877084
5,-633.0469625967205,-534.856283354237,-171.92814548877084
6,-658.4007382997121,-555.4470258451495,-171.92814548877084
7,-559.1646939208467,-555.9781212845348,-171.92814548877084
8,-512.9123695690874,-550.594902320104,-171.92814548877084
9,-605.9120213212641,-556.7412488757885,-171.92814548877084
10,-635.5101194488739,-564.618135933097,-171.92814548877084
11,-418.2964790258169,-551.3161671233443,-171.92814548877084
12,-418.7265143333708,-540.2670293908465,-171.92814548877084
13,-349.89778238470586,-525.623241159605,-171.92814548877084
14,-251.2760419295679,-506.02701264317375,-171.92814548877084
15,-266.9642643058862,-490.0894960873546,-171.92814548877084
16,-278.6059195386847,-476.8717725530626,-171.92814548877084
17,-289.87610964815804,-465.87202767630356,-171.92814548877084
18,-389.69140586084654,-461.6397709087782,-171.92814548877084
19,-284.07698952820533,-452.2943613624322,-171.92814548877084
20,-367.51100809906507,-448.0551936992639,-171.92814548877084
21,-317.8275649650911,-441.85387804525567,-171.92814548877084
22,-308.22099056385645,-435.7796558870102,-171.92814548877084
23,-257.28698770156467,-428.0191050963387,-171.92814548877084
24,-263.50355306010306,-421.16429042816225,-171.92814548877084
25,-354.48170850915363,-418.4969871514019,-171.92814548877084
26,-247.26104529040452,-411.9109893875174,-171.92814548877084
27,-387.2024706495958,-410.9958590638907,-171.92814548877084
28,-289.34321356737684,-406.6511217247295,-171.92814548877084
29,-154.51581007190077,-397.9568006332526,-171.92814548877084
30,-378.03652804870194,-397.29279154710093,-171.92814548877084
31,-240.54124067172054,-392.2362899059596,-171.92814548877084
32,-313.4507428736779,-389.77424156120077,-171.92814548877084
33,-295.29559522293073,-386.9112522782229,-171.92814548877084
34,-197.6634881458133,-381.3451415684462,-171.92814548877084
35,-168.1668173493586,-375.25433230504365,-171.92814548877084
36,-239.47403615345348,-371.48265741194393,-171.92814548877084
37,-148.9505550411359,-365.468276266787,-171.92814548877084
38,-168.97102612499992,-360.2972959998978,-171.92814548877084
39,-213.66523137184146,-356.53749947097333,-171.92814548877084
40,-215.2086520187745,-353.00427828466826,-171.92814548877084
41,-224.7360871649077,-349.87578581833264,-171.92814548877084
42,-189.1214450484468,-346.04830151428774,-171.92814548877084
43,-149.42237182881968,-341.4756054750908,-171.92814548877084
44,-140.8877337684259,-336.91679020903024,-171.92814548877084
45,-190.08870824016688,-333.65394394305554,-171.92814548877084
46,-194.1308814817414,-330.6208338895487,-171.92814548877084
47,-178.02792510031236,-327.37417625573516,-171.92814548877084
48,-108.4353662067369,-322.81295104638104,-171.92814548877084
49,-115.65925056821733,-318.58532450601035,-171.92814548877084
50,-243.6241570143706,-317.08610115617756,-171.92814548877084
51,-210.16131187066304,-314.9895366603831,-171.92814548877084
