episode,score,average_score,best_score
1,55469.54705466267,55469.54705466267,55469.54705466267
2,47903.792783232275,51686.669918947475,55469.54705466267
3,42126.68002888112,48500.00662225869,55469.54705466267
4,57462.77962650317,50740.69987331981,55469.54705466267
5,57839.26567386905,52160.413033429664,55469.54705466267
6,55569.38497004651,52728.57502286581,55469.54705466267
7,58049.29417433927,53488.67775879059,55469.54705466267
8,59737.95815760973,54269.83780864297,55469.54705466267
9,59798.51468508512,54884.135239358766,55469.54705466267
10,61696.34979130241,55565.35669455313,55565.35669455313
11,58455.04615267699,55828.05573620076,55828.05573620076
12,58172.06160239234,56023.38955838339,56023.38955838339
13,61780.21756911791,56466.222482286044,56466.222482286044
14,58200.04814274526,56590.06717231885,56590.06717231885
15,61349.86758411407,56907.38719977186,56907.38719977186
16,58208.836148523886,56988.72775906886,56988.72775906886
17,62536.45577092852,57315.06470094296,57315.06470094296
18,40704.32202527244,56392.24566340571,57315.06470094296
19,41290.171561822746,55597.399658059236,57315.06470094296
20,46720.1606726889,55153.53770879072,57315.06470094296
21,62009.778859934166,55480.02538265468,57315.06470094296
22,61920.226897975386,55772.761815169266,57315.06470094296
23,58078.11024110683,55872.99435542743,57315.06470094296
24,61977.51329765985,56127.34931135378,57315.06470094296
25,61997.05442456495,56362.13751588223,57315.06470094296
26,62017.14010355583,56579.63761540813,57315.06470094296
27,62093.26818916138,56783.84615517677,57315.06470094296
28,62260.89176815048,56979.454927068684,57315.06470094296
29,61691.32535882624,57141.93321781894,57315.06470094296
30,61369.536715600705,57282.853334411666,57315.06470094296
31,62114.31878920945,57438.70705875998,57438.70705875998
32,57772.17077641639,57449.127799936745,57449.127799936745
33,58033.15382120609,57466.825558157034,57466.825558157034
34,62086.00283197779,57602.683713269405,57602.683713269405
35,58319.364153199014,57623.16029726739,57623.16029726739
36,58327.69202463471,57642.73062302759,57642.73062302759
37,58138.04097812246,57656.117389381514,57656.117389381514
38,61865.51399471664,57766.89098425875,57766.89098425875
39,62627.88161885417,57891.5317697612,57891.5317697612
40,58122.923612421175,57897.3165658277,57897.3165658277
41,58379.05579407955,57909.06630310213,57909.06630310213
42,61622.34865350129,57997.47778763544,57997.47778763544
43,62305.09898733261,58097.6550248377,58097.6550248377
44,61999.810826806824,58186.340383973366,58186.340383973366
45,62030.89264814453,58271.77487873273,58271.77487873273
46,62089.350450140795,58354.76565202421,58354.76565202421
47,58289.8295419074,58353.38403266002,58354.76565202421
48,61676.08790667429,58422.607030035324,58422.607030035324
49,62384.493353691134,58503.46185296708,58503.46185296708
50,61281.310007388856,58559.018816055504,58559.018816055504
51,57086.80737196843,58530.15192499498,58559.018816055504
52,56819.74443587642,58497.25947328116,58559.018816055504
53,60712.809875226296,58539.062311053705,58559.018816055504
54,57472.11239383993,58519.30397925345,58559.018816055504
55,58648.702617347466,58521.656681764245,58559.018816055504
56,61426.13691103397,58573.52240014407,58573.52240014407
57,57984.695883136344,58563.192110372,58573.52240014407
58,56882.03437708231,58534.20663221183,58573.52240014407
59,58888.098866461216,58540.20480567369,58573.52240014407
60,61840.085033390256,58595.20280946897,58595.20280946897
61,62872.238138035325,58665.31814272416,58665.31814272416
62,72114.07069871589,58882.23350653047,58882.23350653047
63,61905.68093253433,58930.22473551466,58930.22473551466
64,62432.489175991024,58984.947617397105,58984.947617397105
65,62756.390594014076,59042.96981703737,59042.96981703737
66,62884.45814648984,59101.17418566543,59101.17418566543
67,64241.66006110956,59177.89785544817,59177.89785544817
68,62151.16331703223,59221.62234753029,59221.62234753029
69,62736.70062837888,59272.56551102085,59272.56551102085
70,63645.21362463248,59335.03191264388,59335.03191264388
71,65218.322063234285,59417.89515420149,59417.89515420149
72,63312.15956562582,59471.982159915715,59471.982159915715
73,63179.04023299983,59522.76377735523,59522.76377735523
74,62201.37624555662,59558.96124314173,59558.96124314173
75,65230.85666661443,59634.5865154547,59634.5865154547
76,62441.0283599764,59671.51338182999,59671.51338182999
77,63121.07561839535,59716.31289139578,59716.31289139578
78,62784.90878138255,59755.65386434432,59755.65386434432
79,63201.23710262176,59799.26884204404,59799.26884204404
80,62479.28226784568,59832.76900986656,59832.76900986656
81,62735.35029498597,59868.60334671989,59868.60334671989
82,65173.45655878765,59933.29667857437,59933.29667857437
83,75715.08086450944,60123.438656718165,60123.438656718165
84,74030.33727178368,60288.996973564186,60288.996973564186
85,73128.16443930753,60440.046002572926,60440.046002572926
86,66704.78491886656,60512.89180392517,60512.89180392517
87,69696.27103155754,60618.447887001406,60618.447887001406
88,63014.31957579066,60645.67370164674,60645.67370164674
89,67148.18928897842,60718.735674538104,60718.735674538104
90,64644.558366646386,60762.35592667264,60762.35592667264
91,69636.90969052831,60859.878495506215,60859.878495506215
92,69177.84378403904,60950.29116168592,60950.29116168592
93,81406.41425315442,61170.24947449741,61170.24947449741
94,83963.64505832653,61412.73240624028,61412.73240624028
95,77248.5187441508,61579.42489400776,61579.42489400776
96,54722.43562413438,61507.99792244658,61579.42489400776
97,88939.45024299862,61790.79639997805,61790.79639997805
98,63964.348609559835,61812.97550415745,61812.97550415745
99,65398.476866608224,61849.19268963676,61849.19268963676
100,72310.30649297308,61953.803827670126,61953.803827670126
101,74738.82831351469,62146.49664025864,62146.49664025864
102,59571.34682943962,62263.17218072071,62263.17218072071
103,70916.56018912536,62551.07098232315,62551.07098232315
104,65093.26715492767,62627.375857607396,62627.375857607396
105,68472.77697717618,62733.71097064045,62733.71097064045
106,74115.73230621935,62919.174444002194,62919.174444002194
107,59295.92096186477,62931.64071187746,62931.64071187746
108,63698.17402243465,62971.24287052571,62971.24287052571
109,63168.64371498207,63004.94416082468,63004.94416082468
110,72145.6245530464,63109.43690844212,63109.43690844212
111,63017.267012782235,63155.059117043165,63155.059117043165
112,66167.0924733913,63235.00942575316,63235.00942575316
113,49547.7736333275,63112.68498639525,63235.00942575316
114,71178.29531892168,63242.467458157014,63242.467458157014
115,71477.44415792736,63343.74322389516,63343.74322389516
116,69603.14475875515,63457.686309997465,63457.686309997465
117,67751.37050698067,63509.835457357985,63509.835457357985
118,64934.57695542742,63752.13800665953,63752.13800665953
119,71091.43302011267,64050.15062124243,64050.15062124243
120,69749.9072552927,64280.44808706847,64280.44808706847
121,68936.87437380849,64349.719042207216,64349.719042207216
122,51818.489745858365,64248.701670686045,64349.719042207216
123,74390.77880667451,64411.82835634171,64411.82835634171
124,63199.05672659679,64424.04379063109,64424.04379063109
125,44274.269455471236,64246.81594094015,64424.04379063109
126,75158.86085041332,64378.233148408726,64424.04379063109
127,62553.48766499363,64382.835343167055,64424.04379063109
128,70025.74150847223,64460.483840570254,64460.483840570254
129,73448.45167092622,64578.05510369126,64578.05510369126
130,67403.18110697673,64638.391547605024,64638.391547605024
131,68425.84931221703,64701.5068528351,64701.5068528351
132,58209.6236859694,64705.88138193062,64705.88138193062
133,44574.35456326768,64571.293389351245,64705.88138193062
134,81567.36880663026,64766.107049097765,64766.107049097765
135,40586.534523876864,64588.77875280456,64766.107049097765
136,43648.5566089795,64441.987398648,64766.107049097765
137,48038.71569708123,64340.99414583758,64766.107049097765
138,71059.19069918172,64432.930912882235,64766.107049097765
139,77249.98812887572,64579.15197798244,64766.107049097765
140,83095.17687695762,64828.8745106278,64828.8745106278
141,82431.42361457186,65069.398188832725,65069.398188832725
142,106001.47695768249,65513.189471874546,65513.189471874546
143,103298.53635791515,65923.12384558037,65923.12384558037
144,73156.3578424817,66034.68931573711,66034.68931573711
145,98063.88005683807,66395.01918982406,66395.01918982406
146,60470.158499622565,66378.82727031887,66395.01918982406
147,77195.13637373073,66567.8803386371,66567.8803386371
148,58343.51419313945,66534.55460150175,66567.8803386371
149,95563.5067532659,66866.34473549749,66866.34473549749
150,97621.57808426538,67229.74741626627,67229.74741626627
151,84904.76790029627,67507.92702154955,67507.92702154955
152,63032.99123867036,67570.0594895775,67570.0594895775
153,65670.81605149673,67619.6395513402,67619.6395513402
154,100139.65384349143,68046.31496583672,68046.31496583672
155,97346.02088526629,68433.2881485159,68433.2881485159
156,111119.68994551695,68930.22367886073,68930.22367886073
157,90167.28132862094,69252.04953331558,69252.04953331558
158,92503.47717286431,69608.2639612734,69608.2639612734
159,91362.51040173999,69933.00807662618,69933.00807662618
160,91994.47283823272,70234.5519546746,70234.5519546746
161,76908.24784904504,70374.9120517847,70374.9120517847
162,109762.23393893195,70751.39368418686,70751.39368418686
163,111375.92712050451,71246.09614606656,71246.09614606656
164,93947.70931334226,71561.24834744008,71561.24834744008
165,102883.81183508522,71962.52255985078,71962.52255985078
166,47964.65110872737,71813.32448947318,71962.52255985078
167,36075.89696353533,71531.66685849742,71962.52255985078
168,108142.5833012487,71991.5810583396,71991.5810583396
169,94944.21788500417,72313.65623090584,72313.65623090584
170,104918.61242863699,72726.39021894589,72726.39021894589
171,89709.32459016971,72971.30024421524,72971.30024421524
172,101016.36895065082,73348.3423380655,73348.3423380655
173,111438.81735497223,73830.94010928522,73830.94010928522
174,81730.84248831126,74026.23477171277,74026.23477171277
175,91904.49058217509,74292.97111086838,74292.97111086838
176,106729.48828685161,74735.85571013713,74735.85571013713
177,97408.92467374494,75078.73420069061,75078.73420069061
178,49101.109488270384,74941.89620775948,75078.73420069061
179,115093.19883381166,75460.8158250714,75460.8158250714
180,99325.82542369622,75829.2812566299,75829.2812566299
181,38619.8694919054,75588.12644859908,75829.2812566299
182,79729.20564688461,75733.68393948005,75829.2812566299
183,84060.94715085869,75817.14260234355,75829.2812566299
184,57258.47440429468,75649.42397366867,75829.2812566299
185,68604.78556792221,75604.19018495483,75829.2812566299
186,112439.85817969851,76061.54091756315,76061.54091756315
