episode,score,average_score,best_score
1,-156.85825113089084,-156.85825113089084,-156.85825113089084
2,-1256.7497002625905,-706.8039756967407,-156.85825113089084
3,-148.5935556496883,-520.7338356810566,-156.85825113089084
4,-982.0475016361987,-636.0622521698422,-156.85825113089084
5,-1532.0197389867035,-815.2537495332144,-156.85825113089084
6,-730.3913142755173,-801.1100103235982,-156.85825113089084
7,-615.6507675320586,-774.6158327819497,-156.85825113089084
8,-901.5552577896849,-790.4832609079166,-156.85825113089084
9,-975.9563692237464,-811.0913840541199,-156.85825113089084
10,-1164.0709647688502,-846.3893421255929,-156.85825113089084
11,-717.3107959624763,-834.6549288380368,-156.85825113089084
12,-648.0055703201964,-819.1008156282168,-156.85825113089084
13,-621.181731040761,-803.8762706599508,-156.85825113089084
14,-1202.9618089764144,-832.3823805396981,-156.85825113089084
15,-979.2272905626438,-842.1720412078945,-156.85825113089084
16,-877.9726600755122,-844.4095798871208,-156.85825113089084
17,-855.1654593273086,-845.0422786777201,-156.85825113089084
18,-1044.8948861593324,-856.1452013155874,-156.85825113089084
19,-265.7720593787117,-825.0729306873308,-156.85825113089084
20,-358.72857781176737,-801.7557130435526,-156.85825113089084
21,-161.89972500683328,-771.2863802798993,-156.85825113089084
22,-143.6666933049732,-742.7582126901299,-156.85825113089084
23,-61.407159623228004,-713.1342538611343,-156.85825113089084
24,-69.21552014600817,-686.3043066230039,-156.85825113089084
25,-114.88505365396843,-663.4475365042424,-156.85825113089084
26,-108.50458306309214,-642.1035767565058,-156.85825113089084
27,-124.88178465875261,-622.9472140862187,-156.85825113089084
28,-62.593605689951296,-602.9345852149235,-156.85825113089084
29,-108.37596900229815,-585.8808398282813,-156.85825113089084
30,-141.1801902143114,-571.057484841149,-156.85825113089084
31,-121.23812967434394,-556.5471830615746,-156.85825113089084
32,-169.58641123204512,-544.4546589419019,-156.85825113089084
33,-107.87551215936125,-531.2249878272795,-156.85825113089084
34,-131.39676059396712,-519.4653340851232,-156.85825113089084
35,-75.04049637667963,-506.7674815791678,-156.85825113089084
36,-64.50745524933137,-494.48248084778345,-156.85825113089084
37,-110.34400762330304,-484.10035994982445,-156.85825113089084
38,-208.82606706391795,-476.85629961072163,-156.85825113089084
39,-70.56227102860676,-466.4385040060521,-156.85825113089084
40,-123.21879609858779,-457.85801130836535,-156.85825113089084
41,-52.35117185157473,-447.9676005899071,-156.85825113089084
42,-216.6942643155753,-442.4610925833754,-156.85825113089084
43,-109.32920916998114,-434.7138394807383,-156.85825113089084
44,-135.9228173561043,-427.92313443245115,-156.85825113089084
45,-77.71584954484945,-420.1407503238378,-156.85825113089084
46,-172.7034719319009,-414.7616790544479,-156.85825113089084
47,-106.25672995864262,-408.1977439673031,-156.85825113089084
48,-21.477543485306114,-400.14107312392804,-156.85825113089084
49,-56.558861094098454,-393.12919124576825,-156.85825113089084
50,-157.59614854318065,-388.4185303917165,-156.85825113089084
51,-809.3235426365986,-396.67156984749846,-156.85825113089084
52,-57.414544801569875,-390.1473962889229,-156.85825113089084
53,-90.82487027140746,-384.49980145840374,-156.85825113089084
54,-96.53643112785714,-379.1671464522825,-156.85825113089084
55,-12.4456100999049,-372.4994821549666,-156.85825113089084
56,-172.05307435186148,-368.9200820156255,-156.85825113089084
57,-43.04395077427404,-363.20295690612807,-156.85825113089084
58,-80.9993950417173,-358.33737825329337,-156.85825113089084
59,-16.047821691813738,-352.5358603454717,-156.85825113089084
60,-18.166753986517932,-346.9630419061558,-156.85825113089084
61,-16.031587605429117,-341.5379360979472,-156.85825113089084
62,112.1595309711349,-334.2202350161878,-156.85825113089084
63,20.838011263948516,-328.584389837138,-156.85825113089084
64,-122.0829716872288,-325.3578051785457,-156.85825113089084
65,204.38490727676972,-317.20791729461774,-156.85825113089084
66,-118.16521831552848,-314.19211882523757,-156.85825113089084
67,6.216678375679592,-309.40989797149257,-156.85825113089084
68,-19.452345561149343,-305.1458163183993,-156.85825113089084
69,-39.57377890445496,-301.29694621095075,-156.85825113089084
70,269.887798512481,-293.13716414347317,-156.85825113089084
71,-56.982220486774956,-289.8110381764774,-156.85825113089084
72,-54.286108053224,-286.5398585914323,-156.85825113089084
73,-39.979777697457415,-283.16232323672034,-156.85825113089084
74,-63.76954641379363,-280.19755598235645,-156.85825113089084
75,128.42258914025103,-274.7492873807217,-156.85825113089084
76,-82.84862675949744,-272.22427868833717,-156.85825113089084
77,-68.85585363330098,-269.583130310999,-156.85825113089084
78,205.00600987150636,-263.49865415481304,-156.85825113089084
79,-67.13330621000942,-261.01301683905604,-156.85825113089084
80,17.481895189426652,-257.5318304387,-156.85825113089084
81,110.07304726864105,-252.99349861515256,-156.85825113089084
82,75.55692698408798,-248.98678610784475,-156.85825113089084
83,204.72386946171008,-243.52039266724768,-156.85825113089084
84,141.86924172424526,-238.93242082925372,-156.85825113089084
85,125.24349256348151,-234.64799831875095,-156.85825113089084
86,151.04227972552485,-230.16322764381755,-156.85825113089084
87,-284.41475205191614,-230.7868083841405,-156.85825113089084
88,-142.11953806467744,-229.7792257668739,-156.85825113089084
89,-144.15921985467043,-228.81720322853457,-156.85825113089084
90,184.59257143436508,-224.22376128783569,-156.85825113089084
91,-145.9359935606779,-223.3634561479768,-156.85825113089084
92,-157.61983246296234,-222.6488515427049,-156.85825113089084
93,-150.38219240291954,-221.87179069173945,-156.85825113089084
94,-177.81398658517008,-221.40309064805254,-156.85825113089084
95,-128.96514110754114,-220.4300596002577,-156.85825113089084
96,-155.55284811410777,-219.75425531394362,-156.85825113089084
97,174.5781196055444,-215.6889730982788,-156.85825113089084
98,-153.15891300165367,-215.05091126055814,-156.85825113089084
99,122.77348866581573,-211.63854358453418,-156.85825113089084
100,-83.825519710754,-210.36041334579636,-156.85825113089084
101,-41.17623255206375,-209.20359316000813,-156.85825113089084
102,-127.09444386321083,-197.9070405960143,-156.85825113089084
103,-200.91008430725083,-198.43020588258992,-156.85825113089084
104,10.145906005010112,-188.50827180617785,-156.85825113089084
105,1.7182794378484867,-173.17089162193227,-156.85825113089084
106,-42.77070472886153,-166.29468552646568,-156.85825113089084
107,-199.98686231208436,-162.13804647426602,-156.85825113089084
108,-41.78475997540258,-153.54034149612318,-153.54034149612318
109,7.399118616284587,-143.70678661772286,-143.70678661772286
110,-34.662758829808354,-132.41270455833245,-132.41270455833245
111,175.59492129656832,-123.483647385742,-123.483647385742
112,-21.205819236882874,-117.21564987490889,-117.21564987490889
113,79.73183603409774,-110.20651420416029,-110.20651420416029
114,204.39597425914818,-96.13293637180465,-96.13293637180465
115,-41.62881409466895,-86.7569516071249,-86.7569516071249
116,-173.6011239650341,-79.71323624602013,-79.71323624602013
117,-88.78943560761395,-72.04947600882319,-72.04947600882319
118,212.39981846207428,-59.476528962609116,-59.476528962609116
119,-72.42965164901514,-57.54310488531216,-57.54310488531216
120,-355.7825536773407,-57.51364464396789,-57.51364464396789
121,212.55956392264125,-53.76905175467314,-53.76905175467314
122,186.18596373970644,-50.47052518422633,-50.47052518422633
123,-131.40878086500646,-51.17054139664413,-50.47052518422633
124,89.2116054956993,-49.58627014022705,-49.58627014022705
125,-71.90586023602238,-49.156478206047595,-49.156478206047595
126,206.53613241171576,-46.006071051299514,-46.006071051299514
127,-77.05724444649583,-45.52782564917695,-45.52782564917695
128,255.21392824625238,-42.349750309814915,-42.349750309814915
129,200.4627440456382,-39.26136317933555,-39.26136317933555
130,187.83359475131797,-35.97122532967925,-35.97122532967925
131,-59.11373545335917,-35.34998138746941,-35.34998138746941
