episode,score,average_score,best_score
1,-981.7039173249915,-981.7039173249915,-981.7039173249915
2,-1092.595810416066,-1037.1498638705286,-981.7039173249915
3,-1750.55755351611,-1274.9524270857225,-981.7039173249915
4,-1543.5620384210822,-1342.1048299195625,-981.7039173249915
5,-1379.5307570737464,-1349.5900153503994,-981.7039173249915
6,-1409.6038524857997,-1359.5923215396326,-981.7039173249915
7,-1504.4836268668498,-1380.2910794435209,-981.7039173249915
8,-1789.5494882365745,-1431.4483805426526,-981.7039173249915
9,-1636.7529551405073,-1454.2599999424142,-981.7039173249915
10,-1536.966117718817,-1462.5306117200546,-981.7039173249915
11,-1486.1903927083229,-1464.6815009008062,-981.7039173249915
12,-1825.098229789689,-1494.7162283082132,-981.7039173249915
13,-1417.4514080723761,-1488.772780597764,-981.7039173249915
14,-1299.115418278543,-1475.225826146391,-981.7039173249915
15,-1632.4273657721028,-1485.7059287881052,-981.7039173249915
16,-1242.202597009417,-1470.4869705519372,-981.7039173249915
17,-1669.7342603415882,-1482.2073993630931,-981.7039173249915
18,-1836.6093580286044,-1501.8963970667328,-981.7039173249915
19,-1180.5034372738112,-1484.980978130263,-981.7039173249915
20,-1829.4701115595344,-1502.2054348017268,-981.7039173249915
21,-1342.855131126498,-1494.6173251029063,-981.7039173249915
22,-1762.8784926945334,-1506.8110145388891,-981.7039173249915
23,-883.1422266903797,-1479.6949802846063,-981.7039173249915
24,-1557.3976778340752,-1482.932592682501,-981.7039173249915
25,-1374.9931021214343,-1478.6150130600583,-981.7039173249915
26,-1131.1092458363764,-1465.2494066283784,-981.7039173249915
27,-1057.9755481243187,-1450.1651896467465,-981.7039173249915
28,-1344.0302720553436,-1446.374656875625,-981.7039173249915
29,-1652.5696879262398,-1453.484830360129,-981.7039173249915
30,-1018.1016723829648,-1438.972058427557,-981.7039173249915
31,-1501.3265994716328,-1440.9834952354304,-981.7039173249915
32,-1199.401264679712,-1433.4340505305638,-981.7039173249915
33,-1191.0165872976993,-1426.0880667962347,-981.7039173249915
