episode,score,average_score,best_score
1,-47.25685714128136,-47.25685714128136,-47.25685714128136
2,-68.19333660668887,-57.725096873985116,-47.25685714128136
3,-69.80426190311181,-61.751485217027344,-47.25685714128136
4,-74.1207947940455,-64.84381261128188,-47.25685714128136
5,-102.78816164973381,-72.43268241897226,-47.25685714128136
6,-83.66335147467379,-74.30446059492252,-47.25685714128136
7,-71.66813423402523,-73.92784254336576,-47.25685714128136
8,-108.74277026392664,-78.27970850843587,-47.25685714128136
9,-91.67321167415156,-79.76787552684874,-47.25685714128136
10,-109.9780421440682,-82.78889218857068,-47.25685714128136
11,-81.05291512903095,-82.63107609224889,-47.25685714128136
12,-129.94151261108843,-86.57361246881885,-47.25685714128136
13,-110.20492310727656,-88.39140559485405,-47.25685714128136
14,-128.73172487955256,-91.27285697233252,-47.25685714128136
15,-130.06785017802352,-93.85918985271192,-47.25685714128136
16,-122.17766348592644,-95.62909445478783,-47.25685714128136
17,-124.39854803292809,-97.32141525350197,-47.25685714128136
18,-118.22223413083171,-98.48257185779806,-47.25685714128136
19,-117.52145758571096,-99.48461847505665,-47.25685714128136
20,-111.72316677932164,-100.0965458902699,-47.25685714128136
21,-119.16154804921004,-101.0044031359337,-47.25685714128136
22,-106.34547153404449,-101.24717897221147,-47.25685714128136
23,-107.22204787411742,-101.50695588098998,-47.25685714128136
24,-92.42384690541817,-101.12849300700782,-47.25685714128136
25,-104.06232998397161,-101.24584648608638,-47.25685714128136
26,-93.48060006504943,-100.94718316220035,-47.25685714128136
27,-96.5880511108687,-100.78573382696584,-47.25685714128136
28,-102.51082670449483,-100.84734428687759,-47.25685714128136
29,-102.74803776396554,-100.91288544125992,-47.25685714128136
30,-104.19380874828825,-101.0222495514942,-47.25685714128136
31,-91.61695467321272,-100.71885294251737,-47.25685714128136
32,-92.01275273598694,-100.4467873110633,-47.25685714128136
33,-100.36590288428144,-100.44433626782748,-47.25685714128136
34,-105.78856989378363,-100.60151960976737,-47.25685714128136
35,-119.97093943621591,-101.15493160480875,-47.25685714128136
36,-135.55660140611414,-102.1105335437339,-47.25685714128136
37,-112.44078535189168,-102.38972953854896,-47.25685714128136
38,-98.35595584500926,-102.28357759924529,-47.25685714128136
39,-116.95593132262779,-102.65979179728073,-47.25685714128136
40,-95.54347786083893,-102.48188394886972,-47.25685714128136
41,-98.66442253579928,-102.3887751339168,-47.25685714128136
42,-117.192265628053,-102.74123919330098,-47.25685714128136
43,-93.30766162548338,-102.52185366846801,-47.25685714128136
44,-88.25887496893203,-102.19769506166038,-47.25685714128136
45,-118.39391946258316,-102.55761115945865,-47.25685714128136
46,-103.5372142512742,-102.57890687884594,-47.25685714128136
47,-104.58395197184475,-102.62156741273954,-47.25685714128136
48,-92.20717581507884,-102.4046009211216,-47.25685714128136
49,-90.42212805580651,-102.16006065856416,-47.25685714128136
50,-107.80755335508593,-102.27301051249458,-47.25685714128136
51,-88.86803740997595,-102.01016790264127,-47.25685714128136
52,-83.84509801055266,-101.66083963548573,-47.25685714128136
53,-85.01712444417531,-101.34680727338552,-47.25685714128136
54,-97.3843181823148,-101.27342784577311,-47.25685714128136
55,-101.14676873866331,-101.27112495291657,-47.25685714128136
56,-99.83874550773638,-101.24554674853836,-47.25685714128136
57,-94.39364779915022,-101.12533799504033,-47.25685714128136
58,-98.95008106262165,-101.08783356517102,-47.25685714128136
59,-113.13307067761096,-101.29199012639882,-47.25685714128136
60,-110.19463165384845,-101.44036748518965,-47.25685714128136
61,-114.70760652786433,-101.65786320720072,-47.25685714128136
62,-100.79696899243527,-101.64397781663997,-47.25685714128136
63,-106.37919549067077,-101.71914000194205,-47.25685714128136
64,-110.98359678774325,-101.8638971392202,-47.25685714128136
65,-101.21936497605402,-101.85398125978688,-47.25685714128136
66,-111.3706863325171,-101.99817376088885,-47.25685714128136
67,-147.85413310521335,-102.68259106453547,-47.25685714128136
68,-152.9711499114303,-103.42212869463685,-47.25685714128136
69,-138.5791192237771,-103.93165029650847,-47.25685714128136
70,-144.3946488817306,-104.50969313344021,-47.25685714128136
71,-114.36883483637844,-104.64855428418582,-47.25685714128136
72,-119.02204268777915,-104.84818606756909,-47.25685714128136
73,-80.43359337618766,-104.51373959234468,-47.25685714128136
74,-104.867687934103,-104.5185226780441,-47.25685714128136
75,-91.36532359745011,-104.34314669030286,-47.25685714128136
76,-103.70166752217823,-104.3347061749328,-47.25685714128136
77,-113.4098060266294,-104.45256461456522,-47.25685714128136
78,-93.95676093649669,-104.31800302894897,-47.25685714128136
79,-102.25773865875563,-104.29192373312372,-47.25685714128136
80,-90.70974072464425,-104.12214644551773,-47.25685714128136
81,-99.75799337333515,-104.06826801252782,-47.25685714128136
82,-102.02991724553756,-104.04341007634503,-47.25685714128136
83,-95.11158922131811,-103.93579777688687,-47.25685714128136
84,-109.80489999094327,-104.00566804133992,-47.25685714128136
85,-108.3804159533678,-104.05713566383437,-47.25685714128136
86,-116.6527830096665,-104.20359667948357,-47.25685714128136
87,-102.7772808948491,-104.18720224517742,-47.25685714128136
88,-113.28961758489531,-104.29063878312876,-47.25685714128136
89,-104.45360964434995,-104.29246991640089,-47.25685714128136
90,-104.4592543933812,-104.29432307725624,-47.25685714128136
91,-111.06465911263133,-104.36872237434827,-47.25685714128136
92,-101.77445017856645,-104.34052376352456,-47.25685714128136
93,-103.20828402506177,-104.32834914268088,-47.25685714128136
94,-112.25395352519465,-104.41266408292039,-47.25685714128136
95,-94.07645841188108,-104.30386191796208,-47.25685714128136
96,-97.06974273464661,-104.22850650980256,-47.25685714128136
97,-95.60243644421585,-104.13957795242537,-47.25685714128136
98,-108.74034660777488,-104.18652457135751,-47.25685714128136
99,-124.12544706062243,-104.38792782882481,-47.25685714128136
100,-98.72302370823387,-104.3312787876189,-47.25685714128136
101,-91.82724857122857,-104.77698270191837,-47.25685714128136
102,-99.42622146631327,-105.08931155051461,-47.25685714128136
103,-110.27011200818681,-105.49397005156537,-47.25685714128136
104,-108.3978027115353,-105.8367401307403,-47.25685714128136
105,-102.03775824676619,-105.82923609671062,-47.25685714128136
106,-101.02089824093521,-106.0028115643732,-47.25685714128136
107,-73.59386091175408,-106.02206883115052,-47.25685714128136
108,-100.2318940949829,-105.93696006946108,-47.25685714128136
109,-92.68977369486443,-105.94712568966821,-47.25685714128136
110,-118.22280356323539,-106.02957330385988,-47.25685714128136
111,-112.17928844683675,-106.34083703703793,-47.25685714128136
112,-104.78691688070371,-106.08929107973407,-47.25685714128136
113,-88.73037660845131,-105.8745456147458,-47.25685714128136
114,-105.06413837083215,-105.6378697496586,-47.25685714128136
115,-90.35091910545572,-105.24070043893295,-47.25685714128136
116,-92.94088999057615,-104.94833270397943,-47.25685714128136
