episode,score,average_score,best_score
1,-12.253607676735022,-12.253607676735022,-12.253607676735022
2,-18.435503482487146,-15.344555579611084,-12.253607676735022
3,-15.87851713599934,-15.522542765073837,-12.253607676735022
4,-41.105197676355466,-21.918206492894242,-12.253607676735022
5,-34.792059804002946,-24.492977155115984,-12.253607676735022
6,-48.737280277506905,-28.533694342181136,-12.253607676735022
7,-32.12701216505889,-29.0470254597351,-12.253607676735022
8,-64.00730713177322,-33.417060668739865,-12.253607676735022
9,-85.88641896714306,-39.246989368562446,-12.253607676735022
10,-90.13652252551282,-44.33594268425748,-12.253607676735022
11,-63.82535875088567,-46.107707781223674,-12.253607676735022
12,-74.35037589475533,-48.461263457351315,-12.253607676735022
13,-39.84382651342046,-47.79838369243355,-12.253607676735022
14,-58.08494224668324,-48.53313787487996,-12.253607676735022
15,-79.64868676953844,-50.60750780119053,-12.253607676735022
16,-27.609549259629347,-49.17013539234296,-12.253607676735022
17,-34.826073193954194,-48.326367027731855,-12.253607676735022
18,-80.5726739124477,-50.11782852132718,-12.253607676735022
19,-62.183690387709994,-50.752873882715754,-12.253607676735022
20,-53.49394390248083,-50.889927383704006,-12.253607676735022
21,-13.080822386056017,-49.08949381238743,-12.253607676735022
22,-23.302096891150732,-47.91733940687668,-12.253607676735022
23,-21.10620667885023,-46.751637983919004,-12.253607676735022
24,-29.323652704582916,-46.02547193061332,-12.253607676735022
25,-25.565880890611027,-45.20708828901323,-12.253607676735022
26,-18.255153465096797,-44.17047541117029,-12.253607676735022
27,-11.151661881820615,-42.947556391564746,-12.253607676735022
28,-16.265987333758893,-41.99464321092882,-12.253607676735022
29,-9.16998097844545,-40.862758306360426,-12.253607676735022
30,-9.88881527955292,-39.830293538800184,-12.253607676735022
31,-7.497149992137343,-38.787288908262674,-12.253607676735022
32,-11.595900652101795,-37.937558025257644,-12.253607676735022
33,-8.843139362268097,-37.055908974864025,-12.253607676735022
34,-12.98486396811358,-36.347937062900776,-12.253607676735022
35,-10.489626959099333,-35.609128202792164,-12.253607676735022
36,-10.631442059863728,-34.91530358771082,-12.253607676735022
37,-11.092412770122934,-34.27144167372196,-12.253607676735022
38,-13.563465310232155,-33.726494927314334,-12.253607676735022
39,-11.265589917596436,-33.150574286039515,-12.253607676735022
40,-9.367842135146823,-32.556005982267195,-12.253607676735022
41,-7.642591421869868,-31.94836172469653,-12.253607676735022
42,-6.458999504854439,-31.341472148033624,-12.253607676735022
43,-10.945846025669724,-30.867155261467023,-12.253607676735022
44,-8.913615267306664,-30.368211170690646,-12.253607676735022
45,-12.405019464355776,-29.969029132772093,-12.253607676735022
46,-7.111360699518043,-29.47212329726657,-12.253607676735022
47,-10.571209007628614,-29.06997618472108,-12.253607676735022
48,-11.243956776885138,-28.69860078039117,-12.253607676735022
49,-7.887806547233762,-28.273890694000205,-12.253607676735022
50,-15.52158428506833,-28.018844565821563,-12.253607676735022
51,-8.244858750464566,-27.63111935375574,-12.253607676735022
52,-7.564383267543419,-27.24522058286704,-12.253607676735022
53,-10.927341223567849,-26.93733606665385,-12.253607676735022
54,-9.463574815572782,-26.613747895337536,-12.253607676735022
55,-10.846852973263326,-26.32707707857255,-12.253607676735022
56,-8.363265528350578,-26.00629472946144,-12.253607676735022
